,user_id,post_text,post_time,likes,comments,comment_id,commenter_id,comment_text,comment_time,length_post,length_comment,background_info,wakeup_state
1536,1604291173,"Dreamt my daughter, who is a mentally disabled adult, was playing with a full grown lion, telling him to lay down, and she would sit on him and comb his hair, and I kept feeling nervous and thinking what if he snaps and kills her, but he just obeys, as if knowing that she is special and fearless. The next moment he turned white as she was brushing him.",2022-04-15 19:30:51,1,5,1398009174054070,557550769,What an empowering dream! I love it! Your daughter is fighting against societal norms (the lion) and totally taming the beast. This girl can do anything she sets her mind to doing. People tend to love her and change to support her. Letting her live her life independently in society is frightening but you have seen what she can do and she is amazing! Does that make sense?,2022-04-17 15:08:08,102,77,,
1537,1604291173,"Dreamt my daughter, who is a mentally disabled adult, was playing with a full grown lion, telling him to lay down, and she would sit on him and comb his hair, and I kept feeling nervous and thinking what if he snaps and kills her, but he just obeys, as if knowing that she is special and fearless. The next moment he turned white as she was brushing him.",2022-04-15 19:30:51,1,5,1398093560712298,690923262,"I think it can mean there is anxiety in you about your daughter coming into her strength. White can mean pure and I take it to mean that this the feelings you feel is pure. And you can rest in the knowing that each of go through phases of anxiety as relationship changes, people grow and it can also give peace.",2022-04-17 15:08:09,102,65,,
1540,1604291173,"Dreamt my daughter, who is a mentally disabled adult, was playing with a full grown lion, telling him to lay down, and she would sit on him and comb his hair, and I kept feeling nervous and thinking what if he snaps and kills her, but he just obeys, as if knowing that she is special and fearless. The next moment he turned white as she was brushing him.",2022-04-15 19:30:51,1,5,1400450733809914,1317912160,"The dream may be about your or her self control being very good (tamed). Combing his hair might mean ability to straighten ones thoughts out/use reason to settle one self in situations that require some confidence and willpower, where there's a danger that an aggressive response could be provoked.",2022-04-17 15:08:10,102,55,,
1541,1604291173,"Dreamt my daughter, who is a mentally disabled adult, was playing with a full grown lion, telling him to lay down, and she would sit on him and comb his hair, and I kept feeling nervous and thinking what if he snaps and kills her, but he just obeys, as if knowing that she is special and fearless. The next moment he turned white as she was brushing him.",2022-04-15 19:30:51,1,5,1400463833808604,578914701,"This is beautiful, reminds me of the strength card in Tarot... which symbolises and represents a great strength, not physical but mental strength, reminding us that being gentle and brave is one of the greatest strengths of all. Watching your daughter must have made you proud, almost inspired by her courage.",2022-04-17 15:08:10,102,58,,It felt scary but also good in a sense when I woke up.
1030,100060524146928,"I was downstairs watching tv with my daughter (baby) and suddenly at the back of tv, a fire starts and it spreads quickly. I grab my daughter but bang my leg on the cabinet as I turn and then I go to run out the house. As I’m running out the house with my daughter in my arms, I call the dog and dog runs out with us and the fire also quickly follows behind us. I’m assuming we were the only ones in the house as I didn’t see my other children or my mother/brother who we also live with. I try to call 999 but I keep calling 969 instead by accident. My neighbour appears at their door and runs in to get their phone.",2022-04-26 20:45:08,0,1,1408119046376416,1317912160,"If you were having a hot flush in your sleep, it could translate to a dream about fire or anger (spoken from experience when I had rosacea) but your face feeling hot could also be a result of the dream. Fire in dreams can represent anger. In this case perhaps something you observed caused it. You had problems communicating about it. Injuring your leg might mean you get your ability to move on from it was compromised.",2022-04-24 14:59:18,195,85,,I very abruptly wake up from this dream and my face is boiling like I’ve really just been there and I have a injury on the leg that I injured in my dream.
1031,100005960737012,"I went to an apartment complex hallway and knocked on someone’s door; I’m pretty sure it was a guy I knew while I was younger who gave me the middle finger as he drove by in a truck in a recent dream. I was talking to him then something he said made me ask him, “what did you do?” I remember feeling like he was talking about me, but he tried to hide it. Then I realized the apartment complex is in poor condition, inside the apartment looks like a messy hoarder situation, and then I noticed several feral cats. I should’ve tried to help get the guy out, but I was primarily concerned about my safety, so I was cautiously trying to walk towards either the front door or back door (whatever felt safer).",2022-04-27 12:42:22,0,1,1408112859710368,1317912160,"Apartments in dreams can be like a mindset of your that you view as not really authentically you, like you don't take full ownership of it. The guy can be representing something you did (you asking him ""what did you do?"" ) and so the interior of the apartment is a reflection of how you feel about whatever that was. Hence you feel you are kind of a mess and the feral cats might be some cattiness that felt out of control or unlike you. Cats can also represent female sexuality, introversion or intuition among other things. The fact they are feral in the dream suggests you were judging yourself for not attending to them and letting your more animalistic urges run free. Basically, I think you woke up with anxiety because there was some situation in your life that you think you should have behaved differently but we are often our harshest critics so perhaps the dream is indicating to give yourself the compassion/ help you thought you should show the guy in the dream. This is how I read the dream but there can be many interpretations so if this doesn't resonate look for others' responses.",2022-04-24 14:59:19,274,215,"I do feel like I know who the person in my dream was, but I want to mention that I rarely ever know or feel any connection with anyone in my dreams (it’s usually like people are around, but they don’t feel real). I can’t accurately say if I’m right about who it is or any feelings associated with the person because I had to calm myself down and remind myself that I’m protected.",I woke up with a panic attack or at least anxiety. I woke up before I left because my brain doesn’t let me get harmed.
1039,2041898659322242,"i had a dream about a tsunami. i was in my old bedroom upstairs and i saw the tsunami, it broke my windows. i went to my moms room scared to tell her and she went to try and fix it but then it happened again. i ended up at my boyfriends house for some reason, to tell him something, but i had to go back to my house real quick and i realized that i couldn’t cus it could be dangerous i might get washed up.",2022-04-27 14:00:21,0,1,1408073903047597,780839497,"Looking at the house as representing you, water as I'm guessing emotion, windows as your outlook on life, I see this as waves of emotion impacting how you are observing things, making it difficult to see clearly, perhaps in relation to your relationship?",2022-04-24 14:59:26,109,50,,
1046,100011914338471,I had a dream my boyfriend was in the hospital he passed away in. I had got the news he was gone. But when I went to go check on him he opened back up his eyes and looked at me like he was not really gone. It wasn't a bad feeling when i had that dream.,2022-04-26 01:31:35,,1,1406464586541862,100001037053553,Many times dreams are expressing grief we still feel and that pain can take many scenarios in dream state. This sounds like one of those dreams to me.,2022-04-24 14:59:39,97,40,My boyfriend of 3 years passed away this past January. I constantly have nightmares now. ,
1052,497433251350538,"I had my cousin round (uncles daughter) my home and what I believe must be her new boyfriend. I knew it was a male that was with her but didn’t see his face. Then there was a knock at the door so I’ve gone to open it and a older man has barged past me and gone straight into my front room. I’ve followed to 1- see who they are and 2- see what on earth there doing. It’s my uncle who abused me going to talk to his daughter, he was shouting a lot but I couldn’t understand what about. He was trying to get her to leave with him but she started crying and ran out the house and the male ran out after her. This left me and my uncle alone. He started having ago at me and how I sent him down after he begged me not to and that he would of just left and not spoke to me again. I tried to get run out and got to the hallway but he grabbed me by my arm and pushed me into my bedroom. He pushed me onto the bed and then he had a saw just waving it about. He was muttering and pacing back and forth in front of the door. There was a bang by the front door opening and then a gun shot and then I woke up.",2022-04-27 08:19:47,1,1,1407812619740392,780839497,"The house as consciousness, I'm wondering if something has happened to someone else that has made your past experiences intrude into your conscious awareness? I'm not sure, but the saw seems significant, maybe this experience, symbolized by him, is threatening or in the act of immobilizing you (thrown to bed and assuming the saw as being to remove limbs, limbs being symbols of taking action). It could also be a play on words linking to what you ""saw""? The daughter could be a symbol for someone who can ""relate"" to this experience hence may not be a family member? In fact she could even be a symbol of part of your character, perhaps unwanted or aggressive advances being shot down because of your past experiences? Not necessarily forced but even just moving too fast as dreams can exaggerate? Keep in mind these are just some ideas of top of my head and may not resonate, could certainly be seen in different ways.",2022-04-24 14:59:48,359,185,"I was sexually abused by my uncle back in 2011 he served time in prison and was released by 2015. Never heard from him since, neither has anyone in the family. Not had a bad dream or flashback etc since then either.",I woke suddenly at around 3:30 from a horrible dream. It’s really triggered me.
1054,100078462727492,"I dreamt of going to the USA to visit this lady off a page I follow. I don’t know how I got there because I didn’t have a passport, and mind me I’d just woken up and I was there. I remember having a coronary about the fact that my mum would freak If she knew I was in a completely different country. But anyway, I was there with this lady and we’re chatting (I can’t remember what we were talking about though). After that I was back at this place I was supposed to be staying at and I remember talking to the people who were in the house. I was saying that I don’t know how I got there without a passport and not sure how I’ll get back either. Then a lady replied with I don’t care then all of a sudden a memory appeared in my head of being at the airport but they hadn’t even asked for my passport and let me through. I don’t remember how but all this stuff we have here was at this place I was staying at and I saw these two cats that looked exactly like mine. I was worried that they were my cats and how I was gonna take them back along with this Ute and all the rest of it. So In the next part of this dream I was with the lady again and we were travelling back via MK II Oppressors (futuristic bike that can hover and fly). We travelled back through some mountains and remember seeing these people and all this secret stuff happening. We hid so they couldn’t see us and when they left I noticed diamonds. After that we continued on our trip back to Australia.",2022-04-18 00:10:49,0,3,1401017420419912,780839497,"How I read it really depends on this lady, and how you feel about the passport. It seems to center about you being somewhere you don't really belong I think? Particularly uncertain how you even ended up there, like as if you had been in a trance or something. Uncertainty about how to get back to a proper or true identity, or at least where you feel you belong? Perhaps the dream suggests that a future individual journey (bike, for one rider) but influenced by perhaps a muse or inspiration can reveal the hidden/secret goings on (the unconscious forces) that drew you to this state. Looks like your work might be cut out for you too (overcoming mountains). A lot like Dorothy and the wizard of Oz story actually.",2022-04-17 14:59:50,386,147,I’ve never left the country or gone to USA and i have never spoken to the lady in the dreams.,
31,100004875131908,"I was walking on some land, a vast area covered in green grass and some plains and some little hills/dunes looked like a valley. There was a lone tree. A big massive tree in distance. The leaves were all purple colour and it had some little white flowers. There was wind, not too strong, but the little flowers were flown away in the wind and falling like a flower rain. I was walking past the tree and I wasn’t alone but with someone. I don’t know who that is but someone close/familiar with. They gave me a flower that was caught floating in the air. We were just walking.",2022-05-08 05:03:50,0,1,1418163442038643,560345596,"This is such a beautiful dream. I feel it reflects a sense of peace as you navigate the peaks and troughs of your life at the moment. I feel the tree with the purple leaves represents your spiritual growth. You have become strong and indipendant, perhaps unique in your path. The person you walk with is aspect of yourself who wants you to stop for a memento appreciate how far you have come. You are blossoming into something wonderful!",2022-05-08 10:40:43,129,86,,
