,user_id,post_text,post_time,likes,comments,comment_id,commenter_id,comment_text,comment_time,length_post,length_comment
30,1190885453,"Mother's day is coming up, it will be the first one that my Mom isn't here. Last night I had a dream about her. She came to me and just hugged me, never spoke a word just kept hugging me. I kept saying ""Mom"", but she still wouldn't speak. I could just feel her embracing me. I woke up with this almost happy feeling, I could just tell by the emotion in the hug it was her.",2022-05-05 03:46:47,1.0,2,1418262872028700.0,100064029430476.0,"Oh that’s wonderful! I’ve had a very similar dream except it was my brother who committed suicide last year, felt an overwhelming sense of love, I remember I was just crying and saying I missed him so much he just reassured me he was okay, smiled and hugged me , it felt so real I woke up happy 💛",2022-05-08 12:40:41,92,67
31,100004875131908,"Need some interpretation:

I was walking on some land, a vast area covered in green grass and some plains and some little hills/dunes looked like a valley. There was a lone tree. A big massive tree in distance. The leaves were all purple colour and it had some little white flowers. There was wind, not too strong, but the little flowers were flown away in the wind and falling like a flower rain. I was walking past the tree and I wasn’t alone but with someone. I don’t know who that is but someone close/familiar with. They gave me a flower that was caught floating in the air. We were just walking.",2022-05-08 05:03:50,0.0,1,1418163442038643.0,560345596.0,"This is such a beautiful dream. I feel it reflects a sense of peace as you navigate the peaks and troughs of your life at the moment. I feel the tree with the purple leaves represents your spiritual growth. You have become strong and indipendant, perhaps unique in your path. The person you walk with is aspect of yourself who wants you to stop for a memento appreciate how far you have come. You are blossoming into something wonderful!",2022-05-08 10:40:43,129,86
32,717670376,"Good morning.

I keep having a dream where in the dream I remember that sometime in the near past I killed someone and then buried the body under my house. In my dream I then can't remember if I actually did it or whether it was a dream and I have a panic attack about it being real and then being caught. Can anyone shed any light on what this might mean?",2022-05-07 21:39:19,0.0,1,1417617095426611.0,560345596.0,"Hi, my suggestion is that the dream is about a dead part of yoyrself that you have burried and tried to forget. Some essential part of you has fallen away. It seems this brings you anxiety because you don't want to feel responsible for this.",2022-05-07 22:40:45,77,50
39,777843956533657,"So I woke up from a very strange dream. I often get very vivid dreams but this one was about my nan who has passed.it started very weirdly I couldn't keep up with what was happening like my dream was jumping from place to place.Then I remember speaking to who i believe was my partner when I got upset and said its Christmas we should be celebrating, dancing etc. He goes downstairs comes back and says right come on then let's go dancing. I get up walk to the staircase (it isn't my own it's a big fancy house , I only live in a small council rented property). I get to the top of the staircase look down and my nans there. I can see her talk to her and hug her! I'm very confused she passed why was she ther. In my dream state I knew that something wasn't right. Anyway we start walking to the pub it's in the middle of nowhere. Fantastic scenery surrounded by trees and views but the path is dangerous. Lots of cliff edges, deep slopes that sort of thing. My nan starts walking to the edges she's smiling and I'm scared she's going to fall. She says my name and just carries on. She falls off and lands on a larger person who breaks her fall and somehow they are both OK. She smiles and lends her hand as if to say I should take risks too its ok. I woke feeling like it was a message to stop letting fear control my life but have second guessed it thinking my nan didn't take risks why would she encourage me to in a dream ? Any ideas would be greatly appreciated x",2022-05-07 11:08:45,,4,1417442475444073.0,557550769.0,"What a fabulous dream! Trust your instinct on this one, for sure. This is a clear message from your nan. Go live your life! Be bold!",2022-05-07 16:40:47,319,32
40,777843956533657,"So I woke up from a very strange dream. I often get very vivid dreams but this one was about my nan who has passed.it started very weirdly I couldn't keep up with what was happening like my dream was jumping from place to place.Then I remember speaking to who i believe was my partner when I got upset and said its Christmas we should be celebrating, dancing etc. He goes downstairs comes back and says right come on then let's go dancing. I get up walk to the staircase (it isn't my own it's a big fancy house , I only live in a small council rented property). I get to the top of the staircase look down and my nans there. I can see her talk to her and hug her! I'm very confused she passed why was she ther. In my dream state I knew that something wasn't right. Anyway we start walking to the pub it's in the middle of nowhere. Fantastic scenery surrounded by trees and views but the path is dangerous. Lots of cliff edges, deep slopes that sort of thing. My nan starts walking to the edges she's smiling and I'm scared she's going to fall. She says my name and just carries on. She falls off and lands on a larger person who breaks her fall and somehow they are both OK. She smiles and lends her hand as if to say I should take risks too its ok. I woke feeling like it was a message to stop letting fear control my life but have second guessed it thinking my nan didn't take risks why would she encourage me to in a dream ? Any ideas would be greatly appreciated x",2022-05-07 11:08:45,,4,1417825745405746.0,100002316665692.0,"I can strongly affirm at the least that you cannot ‘dream or imagine’ anything NEW (as in something you didn’t recently see, observe throughout life or as a child, possibly even connecting different aesthetics or characteristics
of animals and such, no NEW details or designs can be created basically, history and life repeat themselves until change is enacted). Therefore, it’s quite possible that because of the larger setting, environment of a big fancy house party and future, you dreamt of perhaps even a thought of living a different life than hers (including yours perhaps at the moment). She could be spiritually messaging you through the afterlife (dream medium) to tell you to take risks. This is similar to how she told you a permanent goodbye in the dream setting, yet you still saw her land safely on someone else and continue on? So basically, she’s telling you that goodbyes aren’t forever if you love someone, and to take advantages of opportunities while you can as ‘risks.’

By connecting logic with your subconscious, you are correct because you cannot just imagine something NEW or create something that you have not seen details of before. You are 100% in the acceptance&refl
ection stage of loss or life in general, thereby you have let go of her control/
influence, however you still love her and value her opinion.

Understand that the only thing stopping anyone from ‘letting go’ is themselves, you may love someone and not need to heed their opinions on your own entity.

Those last few lines are enough to show how you feel, you already understand that ‘you miss every shot you don’t take, but what does getting a shot mean to you?’ philosophy or mindset.",2022-05-08 10:40:47,319,340
41,662693744736501,"So I had a dream the other night which really upset me. I lost my mum 11 months ago and my dad 4 months ago. In the dream they were both sitting on my bed talking to me my mum hugged me and I kept saying your not here I watched you both pass away and they kept saying they did but they’ve come back. I was crying so much that it woke me and then for a split second I thought they had, but soon reality set in and realised they hadn’t. I so wanted it to be real 😞",2022-05-07 10:03:10,,6,1417214508800203.0,698883807.0,"I believe they were trying to tell you they're right there. If it were me, I'd surely have believed they both visited me 💛💛💛",2022-05-07 00:00:00,110,28
42,662693744736501,"So I had a dream the other night which really upset me. I lost my mum 11 months ago and my dad 4 months ago. In the dream they were both sitting on my bed talking to me my mum hugged me and I kept saying your not here I watched you both pass away and they kept saying they did but they’ve come back. I was crying so much that it woke me and then for a split second I thought they had, but soon reality set in and realised they hadn’t. I so wanted it to be real 😞",2022-05-07 10:03:10,,6,1417362548785399.0,8645530.0,They are gone physically but never gone energetically or spiritually. Many loved ones use the dream world to communicate with those still physically here. I WISH something that intense was my experience. I DID however have lovely dreams of my grandmother not right away but very soon after she passed. She was at her home per usual and having the time of her life! Living it up hosting a party. No words were spoken but I knew the message and I felt her joy and life surround me with comfort and love. She was more than alright now.,2022-05-07 00:00:00,110,106
43,662693744736501,"So I had a dream the other night which really upset me. I lost my mum 11 months ago and my dad 4 months ago. In the dream they were both sitting on my bed talking to me my mum hugged me and I kept saying your not here I watched you both pass away and they kept saying they did but they’ve come back. I was crying so much that it woke me and then for a split second I thought they had, but soon reality set in and realised they hadn’t. I so wanted it to be real 😞",2022-05-07 10:03:10,,6,1417363332118654.0,8645530.0,I cannot imagine how hard that was with parents though...a stronger bond and loss there. I hold you in my heart. 💝,2022-05-07 00:00:00,110,27
46,662693744736501,"So I had a dream the other night which really upset me. I lost my mum 11 months ago and my dad 4 months ago. In the dream they were both sitting on my bed talking to me my mum hugged me and I kept saying your not here I watched you both pass away and they kept saying they did but they’ve come back. I was crying so much that it woke me and then for a split second I thought they had, but soon reality set in and realised they hadn’t. I so wanted it to be real 😞",2022-05-07 10:03:10,,6,1418072435381077.0,100001919378440.0,I had a similar dream about my grandma about 6 months after her passing. It brought out so many emotions in me. I believe it was a visitation dream. So sorry for your loss 💗,2022-05-08 09:40:54,110,38
48,100001409910387,"I had a dream I was really drunk and I was walking in the street because I needed to get something, I’m not sure what but I was in my pyjamas and I was really nervous I didn’t want people to see me buts heaps of people were out and then I heard a voice asking if I’m alright and I suddenly fainted and a male introduced himself as a nurse and started checking me and said I have a hole in my chest and told me to inhale and exhale but it was hard for me to take deep breaths

What would this mean?",2022-05-08 05:14:00,0.0,1,1417989555389365.0,698883807.0,"To me this implies a sudden subconscious ""jump"" in self awareness.

The people were aspects of your deeper psyche you've accessed either as a response to a stimulus, or in alignment with a global phenomenon (spiritual ascension). These may be parts of your psyche that connect with the Collective Unconscious.

You faint when you hear a voice asking you if you're OK. This to me indicates ""finding"" the right ""self"" to fall back on.

He was a ""nurse"".. Very apt. Your New Masculine Energies from this quick shift are very healthy and ""healing"" for the Feminine energies that are wounded.

Hole in chest (Heart Chakra) is the ""sudden"" shift in consciousness I mentioned. It could be indicating the cause of this shift eg some emotional trauma etc but you have a very well grounded inner Masculine that is helping you ""heal"" (your power of discernment, responding instead of reacting, taking action with strategy, being responsible etc).

EDIT: Please look into breathing practices and kindly use them during Meditation.

I always suggest practicing Earthing and Grounding, and increasing water intake. These practices help us ""ascend"" more smoothly.

Ascension is linked with shadow-work. Shadow-work is linked with self-awareness.
Dreams help us increase our self-awareness.",2022-05-08 06:40:58,113,248
