prompt,completion
"In my dream, I was taking a shower in a public shower room that was made of wood. My mother and a religious leader were seated quietly only about two metres away from my spot, and I saw a stranger walking past. I was glancing at each of them as I was enjoying the water, fortunately, they were not looking at my body. I moved my face close to the glass wall to check if it was opaque enough for me not to be seen from the outside, I saw my sister and some strangers walking towards my direction, and I realised I was on the upper floor. The water was strong and clean, and I was enjoying my shower that I don't get any attention though I was naked.",The shower is a cleansing that you are enjoying. You have exposed this issue to those around you. You don't feel self conscious in the dream. This has been a positive experience for you. In this dream you got to be yourself. It's been an enlightening experience for you.
"I had a dream I was in school again and my locker opened up to be this place with a couch and old school computer. I had my tarot cards there and 3 decks had gotten all mixed together and I was trying to straighten them out. I kept finding the wrong cards in different decks. Then I try to log onto the computer and I realized it was my ex roommates ( a person I had a horrible public falling out with, horrible ) girlfriends computer. I then start getting scared the girlfriend is gonna come in, and confused about why her computer is in my locker with my stuff. Then it skips to be talking to this other teacher in a classroom. This teacher ends up being the girlfriends mom and she’s telling me stuff about how their kid can’t have sex , can’t do certain things, and it’s almost like I’m undercover getting this info. I bond with the mom pretty hard. I walk around the school bonding with people almost like I’m undercover.",That this dream is at school is it is about a life lesson. Being there is a locker in the dream symbolizes that you have these issues stored in this locker. You are opening the door and going in. This symbolizes resolving these issues for yourself about this situation. In this dream you are working on this. I see this dream as a start to resolving this for yourself. You have taken a step.
"I have recurring dreams that I’ve lost my purse and I go into a panic frenzy trying to find it. After a long struggle, I end up finding it.",Your purse is your sense of confidence. You store your important things in your purse that you need to function in life. Does your confidence wane? This dream is telling you this. Keeping your confidence up is like keeping your purse. You need to be careful how you handle it. You don't want to lose it.
"I dreamt I got a car because my previous one went wrong. I let a friend (I don't know him in real life but he was a reo3nd in the dream) drive it and he missed a corner and we went off road, sliding through fields til we went into a river. We for our laughing and unhurt and I for another car.That car kept messing about, the boot stated open, or it locked me out etc.",A car is a reflection of yourself in a dream. You changed cars because your old one wasn't working. This is you changing your life because it wasn't working for you. You get another vehicle that seems to be working. You let a dream friend drive. This is actually an aspect of yourself. You are not taking life seriously so the car gets driven of the road and into the river. The river is emotions that you are experiencing. These emotions are getting you off your path. That you get locked out after the crash is saying this change is not a positive move for you.
I dreamt I was crying cause I started arguing with my boyfriend and I felt like I had no where to go because everywhere I live I fight with people. In my dream i told my boyfriend that I had no where to go he said “why would you even think about that”,If you have moved into HIS place rather than moved into a place you share you probably feel like you would have nowhere to go if you argued… I think that’s what your dream is pointing to
"The dream is about a father bear and his two very young cubs/humans. I was seeing the dream from the perspective of the eldest son. What bugs me a lot is it tended to switch a lot, the bears were humans, and then they were bears... At first there were the human father and his sons, in some remote area, in winter, when some bears came and started attacking them. One of the sons got away after seeing his father and brother get eaten by bears. But he kept getting hunted down, it's like the bears had a vendetta on him or something. So half of the dream this son was running from the bears, but halfway through it was like he was becoming a bear himself. Nobody in the villages he approached would let him in, or the bears would attack the people who tried to help him. Eventually he found a village he could get into, but they had no armed guards so he was afraid of what could happen to the people and that he'd get thrown out again anyway. That's where I woke up. There was a lot of running and hiding, but the pursuers always found the boy/cub from whose perspective I saw the dream. It felt like they enjoyed the hunt, that spreading fear and desperation was why they did this, not just finding food. There was also a lot of snow, and forests.","Seeing as the bears are all male it could be about masculine as opposed to feminine trait within. I'm thinking it might be thinking (masculine) vs feeling (feminine). So in that context the bear might be aggression in which case it might be avoiding running from feeling attacked by others aggressive opinionated stances. But that through this process you yourself are becoming aggressively opinionated, possibly in opposition to that opinionated stance that aggressively attacked you in the first place?"
"My dog was there.. she part away about 3 years ago and I absolutely adore her, even still, so if course I was ecstatic to see her. But something was off. She was missing part of her back two legs. She was able to move around just fine, but they looked almost like amputated human arms. I also remember at one point I left her (I vaguely remember being on a bus) and it seemed like no big deal but then it hit that she's gone and who knows when I will see her again, and I felt overcome with guilt and started justifying it to myself. For some context, I feel very guilty about her death...I don't want to get into the details, but she was only 7 years old and it was a freak accident but I didn't get her the help b she needed fast enough. I blame myself (yes, I know it's not healthy) and I miss her terribly every day. I try to stay positive and tell myself that I did the best I could for her at the time and she had a great life, but it's hard to shake the feeling that she should still be around. So the guilt of leaving her arms pretty on the nose. I'm mostly curious as to what the meaning might be about her legs.","The dog is missing a part of its legs which are more like human arms but also with parts missing. I think this dream is about your grief of losing your pet. It’s like you’re missing a part of yourself and seeing as you’re still separated in the dream, the dog is also missing a part of itself - you. The fact that it’s the legs suggests it’s hard to move forward some time. You’re handicapped by grief and maybe a bit of guilt. I’m sorry for your loss and hope you come to not blame yourself. I think this dream is a reflection of how you’re working through your feelings."
"I have had reoccurring dreams of two separate houses which are highly haunted by extremely hostile spirits, this started when I was about 9-10 years old, I am now 46, though they have slowed in how often I have them each week-month, one house I alway come across while hiking or being in a forest for some reason, this house is very old and like a massive dark two story wooden cabin that has a very large man who murdered his family and the nanny or house keeper, the spirits of the murdered always try to help get me away from him, the second house is also two stories, though sometimes it appears from outside in many forms ie one story, a care home, or even a rental of some sort, but once I enter it changes to ‘Her’ house. She is extremely violent and she drowned her children in the bath, she looks like the quintessential strict head mistress in this for, hair tightly pulled back in a severe bun and dressed in dark clothes, when I get past the bathroom I often end up in a guest like area with a kitchenette, her she is younger, dressed in a wedding dress and super super violent, the only way to get past her here is to dismember her, not an easy thing to do, as I have to get her parts away from each other or she re forms, sometimes she will appear walking down a grand staircase dressed in a beautiful red dress looking like she is going to a red carpet type event, she is blonde here and looking stunning, but their is always an air of malice about her. I came to an understanding with her after several years that if I don’t go up the stairs she leaves me alone, but sometimes in my dream I forget and then I have to fight like hell to get out and she appears in all forms throughout the dream trying to kill me until I get out","To me, this strikes me as you encountering your own strict/severe self, not necessarily in addressing others but I think more likely how you treat yourself, since she attacks you. It might be that you isolate this part of you, segregated from society hence in the ""wilds"". I also see it as a haunted part of you, hence haunted house. It sounds like the solution is segregation, separating the different parts of this character to deal with separately or something? Might be about taking on all your problems at once and then attacking yourself for not coping or something, when you should be separating your problems and dealing with them separately, something like that?"
A dream I had a few mornings ago..I was in this house that was empty except for a few items lying around the place..no furniture or anything as such lots and lots of empty space.. And then this girl came walking upto the house as I watched her through the window and then I woke up?,My guess is the dream symbolizes an emptiness you sometimes feel inside of you. The girl walking up may be the answer to that emptiness
"I had a great wonderful dream today about my grandma who past and in the dream she was walking around, and I was talking to my other grandma who's still alive and I had said to my other grandma yea I miss my grandma to she had a lime green nice suite on and she went in a classroom to ask a teacher about me my grandma that past right and as she was walking out that's when I told my other grandma she's walking around and so peaceful after talking to my teacher.. What does that dream mean?",Given the prominence of schools in the dream maybe it relates to learning. Maybe it relates to love in the universal love given green (the suit grandma is wearing) is based around the heart chakra and is an overall theme of the first dream at least.
