,user_id,post_text,post_time,likes,comments,comment_id,commenter_id,comment_text,comment_time,length_post,length_comment
63,547005626.0,"What could a recurring dream that I suddenly find hidden rooms in my house, that I had never been before or that I had forgotten existed? They make me excited and I want to explore them, they suddenly make ￼￼the house significantly￼ larger than it normally is. I’ve had this dream many times, in houses that were actually mine that I lived in at the time or had lived previously, or in houses that in the dream were mine but ￼that I have never been before￼￼￼￼ in waking life.",04-05-2022 15:48,5.0,5,1016670000000000.0,835343745.0,"I get those, too. I think of them as locations within my psyche. Not just houses, sometimes there are areas/regions, which change from time to time, but which I recognize as modifications of places I've been before.",07-05-2022 11:18,98,45
64,547005626.0,"What could a recurring dream that I suddenly find hidden rooms in my house, that I had never been before or that I had forgotten existed? They make me excited and I want to explore them, they suddenly make ￼￼the house significantly￼ larger than it normally is. I’ve had this dream many times, in houses that were actually mine that I lived in at the time or had lived previously, or in houses that in the dream were mine but ￼that I have never been before￼￼￼￼ in waking life.",04-05-2022 15:48,5.0,5,1016810000000000.0,1721451638.0,"Yeah, they're quite common themes. Agree with Rick re relating to the psyche, or maybe sometimes the unconscious unconscious specifically. When I have these dreams the buildings often have an awe inspiring quality, huge, beautiful buildings.

Carl Jung described a dream of his with this same basic theme. In his, he went down multiple levels, and each level the furniture got more and more antique, eventually coming across a couple of skulls laying on the dusty ground of the lowest level. He understood it as relating to the collective unconscious.

I've also had dreams of climbing circular buildings in spiral stair cases, I think also relates to the psyche itself. Jung described the way the psyche spirals, or circumambulate a centre.",07-05-2022 11:18,98,140
88,1667053795.0,"A common theme in my dreams is driving, and has been for years.

I used to have recurring nightmares about driving through mixmasters that were confusing and more like roller coaster tracks than roads, but haven’t had those for a long time.

A very common recurring theme of late is driving large vans, semi trucks, or RVs over very precarious twisty mountain roads in which I’m constantly about to topple off the road. I’ve never driven an RV or very big truck though. The large vehicle driving over precarious roads started maybe a year ago.

Last night I dreamt I was driving my own minivan (which I love and is not hard to drive, it’s my mobile bike garage and changing room) but there was someone else I was traveling with but we were driving in his vehicle, and then I would go get mine (not sure how that was even possible) and bring it to the current location, while on a multi day road trip. He had tried driving it but was very bothered by how cumbersome it seemed to drive and preferred his smaller and more manageable car. When I drove my minivan after driving his car some I also thought it seemed pretty bulky and difficult to maneuver and park.

I’m going through a lot lately and my dreams have become very vivid since I stopped smoking weed six weeks ago after being a multiple times a day smoker for many years. Cannabis suppresses dreams, but I still would have fairly vivid dreams, they’re just super vivid now.",19-03-2022 04:02,2.0,1,988749000000000.0,1721451638.0,"In my experience, vehicles I associate generally with 'my current path in life'.

I've had similar dreams about various large vehicles, buses, lorries shedding part of their load into the road, and of cars blowing up, and vehicles reaching an unpassable/
narrow section ahead of a sharp turn, then stopping. For me, I think* it related to my plan to go part time at work, shed some of my workload.

When I recognise a general theme shared across dreams, I then look for the smaller details that are different across dreams. In one of mine involving a bus my boss randomly cropped up in it, which is wy I think they related to my work life, and plan to go part time. I was also getting the bus to work at the time.

I tend to believe that every little detail in dreams is significant, so I'd suggest picking out some of the smallest odd little details and try and find an interpretation that explains both the general theme, as well as the details, too.

Vivid dreams after stopping smoking weed is really common, they tend to fade or stop being recalled some weeks later. People do say they suppress dreams, and also the fact they inhibit short term memory and probably make us sleep deeper may also mean recalling dreams in lighter, broken sleep more likely.",28-03-2022 11:19,296,257
108,1404120035.0,"Dream
2/21/22

Right before bed I was writing about my goals and activities. The dream involved me, Elliot, and Dave Chappell flying a helicopter. We were on some sort of mission, and I was becoming skilled at managing the horizontal and vertical aspects of flight. I had accumulated about five hours of flight time, and Dave alluded to a combat kill as well. At one point Dave was going to fly, and he tossed the keys up on the roof by accident. He recovered them without incident. The baby was in the back, secured in a car seat. Our last flight was in a city, and Dave expressed some urgency. I was very cautious and flew very gingerly because there were many power lines around and I didn’t want to become entangled and crash.

Context- I have just started a new job in my field after earning my masters in September. I’m also doing a sleep plan as part of a burnout recovery regimen.

The feeling tone of the dream was adventurous. I was encouraged. Then at the end with the power lines I was worried.",21-02-2022 16:02,1.0,3,974975000000000.0,1134906426.0,"I think it's a wonderfully positive dream. I wouldn't worry about the ""power lines"" atm, these will become clear with time. As the good doctor says, there are hierarchies everywhere. You are very prudent to be cautious, but you didn't appear to be anxious.",28-02-2022 11:19,211,56
168,520001791.0,"Hey guys, I'm wondering if you started having intense, highly symbolic dreams the minute you started taking an interest in dreams and listening to Jordan speak about them? I've always dreamed a lot, but I haven't been dreaming for a while. However, since listening to his biblical series they've come on loud and strong. Perhaps I'm just noticing them more? or it could be coincidental as I've been anxious too with the end of the year change etc.. Anyway I've just written my last three night's worth of dreams down and I'm going to make more of an effort with journalling my dreams. Does anyone here journal reguarly since watching JP talk about dreams? And do you find you dream more now you are conciously exploring them??",02-01-2022 21:35,1.0,2,966037000000000.0,1721451638.0,"Exactly that. I hadn't recalled a dream for well over a decade prior. JP himself said the same thing, that he started to recall his dreams after reading Jung, and his dreams.

I think it is simply the result of directing your interest and attention. Like when you want to buy some thing, and then you start seeing it everywhere. Your unconscious filters in that which you put your interest and attention on.",28-01-2022 11:20,149,83
169,100000000000000.0,"Hello, I would like to ask again about a dream interpretation that I found unnerving. My dreams are fragmented, but I´ll do my best do describe it.

I was walking through medieval cellars that were continually getting tighter, in one instance I even had to squeeze through. on the floors, there laid a number of turtles, some on their back, some about to fall, and some just lying normally. Their heads were scaly, some reminiscent of a dragon.

When I got out of the cellar I found myself on a town square. It was evening, lights dim with some shadows flying around. Only one shadow was dense and round. It wore a blue and white jacket with a masquerade mask. I provocatively yelled at it ""Hey death!"" It noticed me and started slowly and ominously chasing me.

Suddenly, a girl clad in a celebratory village dress. She said that ""It´s starting"" and took me inside of a room that was connected with the town square. A great iron gate with bars was closed behind me. More girls who had the same dress were inside. Clergymen started a prayer, yet I did not know the words. I felt ashamed, anxious, and the shadow was staring at me hauntingly. Then a dance started, I did not know the moves, I was being pushed around, I even pushed off a glass that broke. Everyone was dancing on the glass shards and clothes that looked like mine that weren't there before. The Clergymen were watching me disapprovingly. The women did not care, they were happy that I was trying to dance with them.

After the dance, I started picking up the shards and cut myself accidentally. My blood was not dense, and it was watery. After the cut, my father called me and asked me how I was.

Then it ended and I woke up cold and anxious.

I am really confused about this dream. Lately, I had dreams about swimming pools, oceans, and journeys that led nowhere and I had to go back.

I would appreciate it if anyone looked into this.",07-02-2022 12:10,2.0,4,965238000000000.0,697287086.0,"Is there anyone you can talk to? Investigate how you felt.? You woke feeling fear but what about the rest of it? You are the only one that can interpret by teasing out what reminders to your life are trying to get your attention. It helps if someone impartial can help you through this. Good luck, it sounds important.",28-01-2022 11:20,405,66
170,100000000000000.0,"Hello, I would like to ask again about a dream interpretation that I found unnerving. My dreams are fragmented, but I´ll do my best do describe it.

I was walking through medieval cellars that were continually getting tighter, in one instance I even had to squeeze through. on the floors, there laid a number of turtles, some on their back, some about to fall, and some just lying normally. Their heads were scaly, some reminiscent of a dragon.

When I got out of the cellar I found myself on a town square. It was evening, lights dim with some shadows flying around. Only one shadow was dense and round. It wore a blue and white jacket with a masquerade mask. I provocatively yelled at it ""Hey death!"" It noticed me and started slowly and ominously chasing me.

Suddenly, a girl clad in a celebratory village dress. She said that ""It´s starting"" and took me inside of a room that was connected with the town square. A great iron gate with bars was closed behind me. More girls who had the same dress were inside. Clergymen started a prayer, yet I did not know the words. I felt ashamed, anxious, and the shadow was staring at me hauntingly. Then a dance started, I did not know the moves, I was being pushed around, I even pushed off a glass that broke. Everyone was dancing on the glass shards and clothes that looked like mine that weren't there before. The Clergymen were watching me disapprovingly. The women did not care, they were happy that I was trying to dance with them.

After the dance, I started picking up the shards and cut myself accidentally. My blood was not dense, and it was watery. After the cut, my father called me and asked me how I was.

Then it ended and I woke up cold and anxious.

I am really confused about this dream. Lately, I had dreams about swimming pools, oceans, and journeys that led nowhere and I had to go back.

I would appreciate it if anyone looked into this.",07-02-2022 12:10,2.0,4,965309000000000.0,835343745.0,"Dreams must be interpreted in the context of your life. What is going on in your waking life? Any concerns, relationships, jobs, etc. Dreams can't be interpreted in and of themselves - they are always couched in our everyday realities.",28-01-2022 11:20,405,48
171,100000000000000.0,"Hello, I would like to ask again about a dream interpretation that I found unnerving. My dreams are fragmented, but I´ll do my best do describe it.

I was walking through medieval cellars that were continually getting tighter, in one instance I even had to squeeze through. on the floors, there laid a number of turtles, some on their back, some about to fall, and some just lying normally. Their heads were scaly, some reminiscent of a dragon.

When I got out of the cellar I found myself on a town square. It was evening, lights dim with some shadows flying around. Only one shadow was dense and round. It wore a blue and white jacket with a masquerade mask. I provocatively yelled at it ""Hey death!"" It noticed me and started slowly and ominously chasing me.

Suddenly, a girl clad in a celebratory village dress. She said that ""It´s starting"" and took me inside of a room that was connected with the town square. A great iron gate with bars was closed behind me. More girls who had the same dress were inside. Clergymen started a prayer, yet I did not know the words. I felt ashamed, anxious, and the shadow was staring at me hauntingly. Then a dance started, I did not know the moves, I was being pushed around, I even pushed off a glass that broke. Everyone was dancing on the glass shards and clothes that looked like mine that weren't there before. The Clergymen were watching me disapprovingly. The women did not care, they were happy that I was trying to dance with them.

After the dance, I started picking up the shards and cut myself accidentally. My blood was not dense, and it was watery. After the cut, my father called me and asked me how I was.

Then it ended and I woke up cold and anxious.

I am really confused about this dream. Lately, I had dreams about swimming pools, oceans, and journeys that led nowhere and I had to go back.

I would appreciate it if anyone looked into this.",07-02-2022 12:10,2.0,4,966056000000000.0,1721451638.0,"I think you said it yourself, the dark, ominous ""shadow"" chasing you was your Shadow, in the Jungian sense - all the things which you reject and repress in yourself.

Jung would say the turtle is a common symbol of the Self, a turtle on it's back or about to fall might represent a less than ideal state of the Self, one in need of/lacking help. He has also described the turtle as representing the transcendent function, that which unites the opposites.

Jung has also said reptile-like scales - and the dragon - are associated with the sympathetic nervous system. Incidentally, the sypathetic nervous system is what constricts blood vessels, allowing them to move through smaller spaces under pressure, as you were in this dream. I wonder whether your blood taking on a watery quality is somehow also related. You said you woke up cold. vasoconstrictio
n of the blood vessels is what keeps you warm when cold.

Ordinarily, blood is associated with emotion, in Jungian interpretations
.

To me, this dream seems like it might be about integration of the personal Shadow, in order to aid the development of the Self, but given your point about watery blood, crawling along constricted routes, and waking up cold, I wonder whether this dream is simply a response to your physical state at the time of the dream.",28-01-2022 11:20,405,255
172,100000000000000.0,"Hello, I would like to ask again about a dream interpretation that I found unnerving. My dreams are fragmented, but I´ll do my best do describe it.

I was walking through medieval cellars that were continually getting tighter, in one instance I even had to squeeze through. on the floors, there laid a number of turtles, some on their back, some about to fall, and some just lying normally. Their heads were scaly, some reminiscent of a dragon.

When I got out of the cellar I found myself on a town square. It was evening, lights dim with some shadows flying around. Only one shadow was dense and round. It wore a blue and white jacket with a masquerade mask. I provocatively yelled at it ""Hey death!"" It noticed me and started slowly and ominously chasing me.

Suddenly, a girl clad in a celebratory village dress. She said that ""It´s starting"" and took me inside of a room that was connected with the town square. A great iron gate with bars was closed behind me. More girls who had the same dress were inside. Clergymen started a prayer, yet I did not know the words. I felt ashamed, anxious, and the shadow was staring at me hauntingly. Then a dance started, I did not know the moves, I was being pushed around, I even pushed off a glass that broke. Everyone was dancing on the glass shards and clothes that looked like mine that weren't there before. The Clergymen were watching me disapprovingly. The women did not care, they were happy that I was trying to dance with them.

After the dance, I started picking up the shards and cut myself accidentally. My blood was not dense, and it was watery. After the cut, my father called me and asked me how I was.

Then it ended and I woke up cold and anxious.

I am really confused about this dream. Lately, I had dreams about swimming pools, oceans, and journeys that led nowhere and I had to go back.

I would appreciate it if anyone looked into this.",07-02-2022 12:10,2.0,4,969178000000000.0,100017000000000.0,"This is one of those dreams that sound amazing for Jungian interpretation - so full of symbols. There is a very classic interpretation by Jung (one of his own dreams if I remember correctly) where he interpreted a house in a dream as an image if the mind. The basement is the subconscious. Deep beneath the house is the collective unconscious, where dragons and monsters dwell. These are the complexes of the collective unconscious, the things that you need to face in order to mature as a human being. Tod Venn mentions the dragons and Shadow above. The village and traditional clothing also sounds as relating to the collective subconscious. I think Peterson would say that this relates to drives that are collective to us as humans, and sometimes older that Homo Sapiens.

There is a conflict here between the feminine (the women) and a religious and/or patriarchal authority (clergy, your father). There appears to be a situation that is out of your control; the dancing on broken glass, closed gates, you are pushed around and don't know the moves. Maybe some kind of ecstatic feeling of being out of control. Maybe you need to learn to let go? There is also a conflict here; on the one hand you are trying to dance, on the other hand the clergy and your father are disapproving of you. You may want to contemplate this in relation to your relationship to your father. This may either refer to your actual father or be a symbol of a hierarchical way of thinking, especially as relating to religion and spirituality (considering the clergy).

The part about the blood is also interesting, and I would advise you to contemplate it rather that try to give you an answer. My spontaneous associations are that blood is thicker than water, and also the passage in the Gospels where a Roman sticks a spear into the side of the crucified Christ, and both blood and water comes out (a scene which is closely related to baptism and the Mass), but these are my associations, not yours.",28-02-2022 11:20,405,391
179,520001791.0,"Hi guys, I haven't had a nightmare in some time. I can't even remember the last time. This was one of those ones you wake up shaking from and SO glad it was only a dream.
I was somehow involved in a murder. An acquaintance of ours (a big man) had beaten another man to death and a few of my friends and I had sort of egged him on over text message. The whole dream was the police surrounding us all, mostly old school friends, a toxic ex best friend of mine and a toxic ex boyfriend. Also my beloved grandma who has passed, had been involved!
We were all surrounded by the police and about to be interrogated. I knew that if they saw my text messages or diary entries (I had a few journals lying around in a bag and in my hand etc), I was screwed. I was considering deleteting the messages or journal entries but didn't want to act like I was covering anything up.
I was trying desperately to talk discreetly to my friends (with the police around us) to make sure we were on the same page about what we were going to say.
I knew I was facing jail. Maybe 1-6 months. Or maybe none at all, but I was just hoping and praying I wouldn't go to jail.
My main focus was my kids and them thinking I was the worst mum in the world for going to jail. I've already done a few things to disappoint them and I knew this one would just take the cake...
Thoughts? Thanks if you got this far :)",07-02-2022 22:02,2.0,2,966038000000000.0,1721451638.0,"Jung spoke about how the 'strong man', or thug, is the archetypal representation of the first stage of the development of the female's Animus.

The natural tendency for us to repress aspects of our behaviour interests me, and is obviously a function of the unconscious, like not allowing ourselves to be aggressive and let off steam, which can cause us to eventually explode like a pressure cooker etc. I wonder whether the violent behavior of the masculine symbol was so intolerable to you it made you act violently too. I wonder whether this is about the way you judge against the naturally repressed aspects of your own personality which have value, which the unconscious projects onto the masculine symbol here.

Given the thug, this dream may relate to the initial stage of Animus integration, and given that you were involved in the killing of him, may speak to how you judge against and repress what he represented, in yourself. The killing may also imply a transition from the first stage, to the second stage of the development of your Animus. In the second stage the Animus, the symbolically masculine aspect of the female's personality is associated with forward planning, among other things, as you were in this dream.

Here is a very brief post that references Jungs point about the forms the Animus takes on, including the initial stage taking the form of a strong man/thug. It's form changes over time. Next it might appear as an intellectual, professor or similar.

Jungs last book Man & His Symbols speaks about the job of the female in integrating her Animus, and the difficulty in doing so, its reward, and the evolving forms it takes on in females dreams.

https://
carljungdepthpsy
chologysite.blo
g/2020/04/12/
carl-jungs-defin
ition-of-animus
/#.YgLfZbrP2Uk",28-01-2022 11:20,310,332
