,user_id,post_text,post_time,likes,comments,comment_id,commenter_id,comment_text,comment_time,length_post,length_comment,background_info,wakeup_state
171,100000000000000,"I was walking through medieval cellars that were continually getting tighter, in one instance I even had to squeeze through. on the floors, there laid a number of turtles, some on their back, some about to fall, and some just lying normally. Their heads were scaly, some reminiscent of a dragon. When I got out of the cellar I found myself on a town square. It was evening, lights dim with some shadows flying around. Only one shadow was dense and round. It wore a blue and white jacket with a masquerade mask. I provocatively yelled at it ""Hey death!"" It noticed me and started slowly and ominously chasing me. Suddenly, a girl clad in a celebratory village dress. She said that ""It´s starting"" and took me inside of a room that was connected with the town square. A great iron gate with bars was closed behind me. More girls who had the same dress were inside. Clergymen started a prayer, yet I did not know the words. I felt ashamed, anxious, and the shadow was staring at me hauntingly. Then a dance started, I did not know the moves, I was being pushed around, I even pushed off a glass that broke. Everyone was dancing on the glass shards and clothes that looked like mine that weren't there before. The Clergymen were watching me disapprovingly. The women did not care, they were happy that I was trying to dance with them. After the dance, I started picking up the shards and cut myself accidentally. My blood was not dense, and it was watery. After the cut, my father called me and asked me how I was.",07-02-2022 12:10,2,4,966056000000000,1721451638,"The dark, ominous ""shadow"" chasing you was your Shadow, in the Jungian sense - all the things which you reject and repress in yourself. Jung would say the turtle is a common symbol of the Self, a turtle on it's back or about to fall might represent a less than ideal state of the Self, one in need of/lacking help. He has also described the turtle as representing the transcendent function, that which unites the opposites. Jung has also said reptile-like scales - and the dragon - are associated with the sympathetic nervous system. Incidentally, the sympathetic nervous system is what constricts blood vessels, allowing them to move through smaller spaces under pressure, as you were in this dream. I wonder whether your blood taking on a watery quality is somehow also related. You said you woke up cold. vasoconstriction of the blood vessels is what keeps you warm when cold. Ordinarily, blood is associated with emotion, in Jungian interpretations. To me, this dream seems like it might be about integration of the personal Shadow, in order to aid the development of the Self, but given your point about watery blood, crawling along constricted routes, and waking up cold, I wonder whether this dream is simply a response to your physical state at the time of the dream.",28-01-2022 11:20,405,255,,I woke up cold and anxious
172,100000000000000,"I was walking through medieval cellars that were continually getting tighter, in one instance I even had to squeeze through. on the floors, there laid a number of turtles, some on their back, some about to fall, and some just lying normally. Their heads were scaly, some reminiscent of a dragon. When I got out of the cellar I found myself on a town square. It was evening, lights dim with some shadows flying around. Only one shadow was dense and round. It wore a blue and white jacket with a masquerade mask. I provocatively yelled at it ""Hey death!"" It noticed me and started slowly and ominously chasing me. Suddenly, a girl clad in a celebratory village dress. She said that ""It´s starting"" and took me inside of a room that was connected with the town square. A great iron gate with bars was closed behind me. More girls who had the same dress were inside. Clergymen started a prayer, yet I did not know the words. I felt ashamed, anxious, and the shadow was staring at me hauntingly. Then a dance started, I did not know the moves, I was being pushed around, I even pushed off a glass that broke. Everyone was dancing on the glass shards and clothes that looked like mine that weren't there before. The Clergymen were watching me disapprovingly. The women did not care, they were happy that I was trying to dance with them. After the dance, I started picking up the shards and cut myself accidentally. My blood was not dense, and it was watery. After the cut, my father called me and asked me how I was.",07-02-2022 12:10,2,4,969178000000000,100017000000000,"This is one of those dreams that sound amazing for Jungian interpretation - so full of symbols. There is a very classic interpretation by Jung (one of his own dreams if I remember correctly) where he interpreted a house in a dream as an image if the mind. The basement is the subconscious. Deep beneath the house is the collective unconscious, where dragons and monsters dwell. These are the complexes of the collective unconscious, the things that you need to face in order to mature as a human being. Tod Venn mentions the dragons and Shadow above. The village and traditional clothing also sounds as relating to the collective subconscious. I think Peterson would say that this relates to drives that are collective to us as humans, and sometimes older that Homo Sapiens. There is a conflict here between the feminine (the women) and a religious and/or patriarchal authority (clergy, your father). There appears to be a situation that is out of your control; the dancing on broken glass, closed gates, you are pushed around and don't know the moves. Maybe some kind of ecstatic feeling of being out of control. Maybe you need to learn to let go? There is also a conflict here; on the one hand you are trying to dance, on the other hand the clergy and your father are disapproving of you. You may want to contemplate this in relation to your relationship to your father. This may either refer to your actual father or be a symbol of a hierarchical way of thinking, especially as relating to religion and spirituality (considering the clergy). The part about the blood is also interesting, and I would advise you to contemplate it rather that try to give you an answer. My spontaneous associations are that blood is thicker than water, and also the passage in the Gospels where a Roman sticks a spear into the side of the crucified Christ, and both blood and water comes out (a scene which is closely related to baptism and the Mass), but these are my associations, not yours.",28-02-2022 11:20,405,391,,I woke up cold and anxious
179,520001791,"I was somehow involved in a murder. An acquaintance of ours (a big man) had beaten another man to death and a few of my friends and I had sort of egged him on over text message. The whole dream was the police surrounding us all, mostly old school friends, a toxic ex best friend of mine and a toxic ex boyfriend. Also my beloved grandma who has passed, had been involved! We were all surrounded by the police and about to be interrogated. I knew that if they saw my text messages or diary entries (I had a few journals lying around in a bag and in my hand etc), I was screwed. I was considering deleteting the messages or journal entries but didn't want to act like I was covering anything up. I was trying desperately to talk discreetly to my friends (with the police around us) to make sure we were on the same page about what we were going to say. I knew I was facing jail. Maybe 1-6 months. Or maybe none at all, but I was just hoping and praying I wouldn't go to jail. My main focus was my kids and them thinking I was the worst mum in the world for going to jail. I've already done a few things to disappoint them and I knew this one would just take the cake.",07-02-2022 22:02,2,2,966038000000000,1721451638,"Jung spoke about how the 'strong man', or thug, is the archetypal representation of the first stage of the development of the female's Animus. The natural tendency for us to repress aspects of our behavior interests me, and is obviously a function of the unconscious, like not allowing ourselves to be aggressive and let off steam, which can cause us to eventually explode like a pressure cooker etc. I wonder whether the violent behavior of the masculine symbol was so intolerable to you it made you act violently too. I wonder whether this is about the way you judge against the naturally repressed aspects of your own personality which have value, which the unconscious projects onto the masculine symbol here. Given the thug, this dream may relate to the initial stage of Animus integration, and given that you were involved in the killing of him, may speak to how you judge against and repress what he represented, in yourself. The killing may also imply a transition from the first stage, to the second stage of the development of your Animus. In the second stage the Animus, the symbolically masculine aspect of the female's personality is associated with forward planning, among other things, as you were in this dream.",28-01-2022 11:20,310,332,,This was one of those ones you wake up shaking from and SO glad it was only a dream.
219,636344861,"I am walking around a dilapidated city. It is an urban area. There are bridges here and there, I walk around - supposedly using a map. Not too sure. I end up having navigated myself at a store which contains carpets and other antique looking things. It seems to be an Indian store that sells carpets and furnishings. I go to the end of the store, where the receptionist walks me through, she presents with her hands from the back of the store the view of the whole store into the front. Above me there is a broken escalator which captures my attention, I then look up and notice to my surprise that there are people up there but there is no way to enter the second level of this furnishing store. I then leave the store and walk into a shop that is selling religious photos of Krishna and Radha used for decorating altars.",18-01-2022 15:43,2,1,954205000000000,1233063635,"There's a lot of layers in this dream. I'll just tell you what I think the symbols reference. Dilapidated: not taken care of, unhealthy, worn out. (Buildings typically reference the self). Carpeting: something that covers something, like possibly feelings, emotions. Antiques: something from the past. Broken escalator going up: a means to get to a 'higher' level isn't working. The other people on the higher floor represent different aspects of your personality, character. In other words, something is holding you back, and likely something from the past.",28-01-2022 11:21,174,134,,
249,100017000000000,"In my dream, I am in the attic of a palatial building that is public, but somehow also mine. A small staircase leads upwards. To the left is the interior of a baroque church. Closer to me on my left, thus also to the left of the way into the church, lay three water scoops; two in polished wood, two in silver. To the right is a way up in the attic. The first thing one sees there is three child sized coffins, one of which contains my fiancé’s infant brother. To my left, in front of the small upwards staircase, is much grander staircase leading downwards into a magnificent light room with grand windows and staircases leader further down into the palace. In its center stands and tall marble statue of the goddess Venus.",02-01-2022 18:31,2,9,945251000000000,1536761358,"Are other coffins empty? Must be if you said one of them had an infant. To me the attic might be the thing people see first, the most high top of the building. Left is a church which clearly is a place of salvation or maybe the choices that might invigorate you or your image, or hopes and ideas(connection to the right, to the three coffins?). Is the water clear? Fiance might be the dedication to this idea or part of you that lies in the coffin. Is it dead? Or a possibility to raise this from the dead, child sometimes means regression into something but it seems the ""movement"" into regression is missing. Did you felt that this fiance of your dreams was really your fiance? Some idea you want to put into rest in connection to her? Maybe even an important idea or possibility put into rest for now. Maybe its something you ""ought"" to be, or you think you have to be in front of the world and others (as its the part of the building that is on top thus most visible to others). You even say public but yours, or your view is out there but you have two? Since you descend down I think you find more of you really, the building naturally might stand as metaphor of you or so Venus there actually points to some future or underlying motivation/ desire which is represented on top with the choices via latters. Water is quite often sacred and a symbol of life and creativity, so this all kind of points that maybe you are at a crossroads making a decision?",28-12-2021 11:22,154,323,,
256,100017000000000,"In my dream, I am in the attic of a palatial building that is public, but somehow also mine. A small staircase leads upwards. To the left is the interior of a baroque church. Closer to me on my left, thus also to the left of the way into the church, lay three water scoops; two in polished wood, two in silver. To the right is a way up in the attic. The first thing one sees there is three child sized coffins, one of which contains my fiancé’s infant brother. To my left, in front of the small upwards staircase, is much grander staircase leading downwards into a magnificent light room with grand windows and staircases leader further down into the palace. In its center stands and tall marble statue of the goddess Venus.",02-01-2022 18:31,2,9,946258000000000,100001000000000,"It does seem obvious that for you to have this type of dream or story that you would be heavily connected, in some way? Some observations… 3 water scoops, 3 coffins and 3 people you, your fiancé and his infant brother? The description of the water scoops is telling. First of all water in relation to a church belong to Christ. The building is made of people understand fully that water represents cleansing and washing. holy and without blemish. Notice the church is subject to Christ! Notice the water is the word of god that is used for washing our lives. The purpose of washing is that the church will be presented to Christ as holy and beautiful and virtuous. In your dream we notice the first scoop of water is in “polished wood”? This is meant to be for the washing of the church as God’s word is meditated upon and read daily his spirit makes it clean our conscience making us one with him. The wood represents the natural man who, in the church of Christ will go down into the waters of baptism and the natural man will die but ride again in Christ In the baroque style pagan church this is called holy water is Only for show, this is evident as “polished wood” is the description. Yes the church is highly polished to attract followers but the true meaning is lost in the polish. Religion is highly polished. The silver scoops in the bible speak of redemption and purification. The process of heating silver to burn off the dross and other imperfections is a metaphor used throughout Scripture. God’s Word itself is described in value beyond silver: “The promises of the LORD are pure, like silver refined in a furnace and purified seven times” (Ps 12:6). The purification process was sometimes used as a symbol for the way God tests and refines people: “You have tested us, O God. You have refined us in the same way silver is refined” (Ps 66:10; see also Isa 48:10). A silversmith would have to attentively watch the silver, getting it to just the right heat, in order to purify the metal. God also watches us as he put us through fiery trials, never leaving us for an instant and only allowing the situation to progress to the point where it is helpful for our sanctification. In the church of Venus the water and silver scoops are just for show however Venus may expect her followers to perform rituals suitable for her? What’s missing here is the gold of course which represents the golden nature of Jesus. Peter the disciple and apostle makes mention of silver and gold showing the true meaning of being washed in water and refined by fire.",28-12-2021 11:22,154,786,,
261,100006000000000,"I was in a cinema and everyone had gone home and I knew I shouldn't be there. Then there were cameras coming out of the walls (bursting out). Then I was being chased by something round the cinema. The whole scene jumped, I was at home watching television. Some programme was on with a toy Teddy bear, the bear started shaking and the fur was ripping and some sort of monster was braki through. I couldn't get the television off, the remote wasn't working.",22-12-2021 02:33,2,7,938491000000000,1233063635,Do you have any recollection of what it was that was chasing you? What was your life like the previous 24-48 hours before you had the dream? Your answer lies there. Be open with yourself.,28-12-2021 11:22,131,39,,I woke up shaking with my heart hammering. It disturbed me.
262,100006000000000,"I was in a cinema and everyone had gone home and I knew I shouldn't be there. Then there were cameras coming out of the walls (bursting out). Then I was being chased by something round the cinema. The whole scene jumped, I was at home watching television. Some programme was on with a toy Teddy bear, the bear started shaking and the fur was ripping and some sort of monster was braki through. I couldn't get the television off, the remote wasn't working.",22-12-2021 02:33,2,7,938501000000000,100003000000000,"The empty cinema part and knowing you shouldn't be in there is terrifying enough to me in and of itself. If this was me I'd say it had something to do with the power of watching to destroy. Camille Paglia talks about Cinema as the 'aggressive Western Eye'. This power is 'Apollonian', she says, like the power of Medusa to turns things to stone through nothing but gaze.",28-12-2021 11:22,131,178,,I woke up shaking with my heart hammering. It disturbed me.
263,100006000000000,"I was in a cinema and everyone had gone home and I knew I shouldn't be there. Then there were cameras coming out of the walls (bursting out). Then I was being chased by something round the cinema. The whole scene jumped, I was at home watching television. Some programme was on with a toy Teddy bear, the bear started shaking and the fur was ripping and some sort of monster was braki through. I couldn't get the television off, the remote wasn't working.",22-12-2021 02:33,2,7,940784000000000,100001000000000,"2 scenes relating to tv and cinema, public viewing and private viewing. Large lifelike screen compare small Home Screen Possible adult viewing compare toy teddy bear. While I don’t understand all of this some things stand out? For me the cinema is a large screen that has the power to bring its movies/ entertainment to life for the viewer. You seem to understand this concept of the cinema as a mechanism that has the power to breathe life into what ever is fed into the projectors. To me the fact that you have stayed behind is to make use of this mechanism by turning it on yourself. You go there to see for yourself the larger than life screen, it’s intention is for informing and to entertain but somewhere along the line you have realized that by looking into something you can bring it to life just like the toy teddy bear at home on your tv. The toy teddy bear is a comfort to you it’s strength it’s warm fur can be your friend and companion as a toy is your friend howbeit lifeless. Bears are not mean or malicious; they are very gentle and tolerant animals. Mother bears are affectionate, protective, devoted, strict, sensitive and attentive with their young. Not unlike people, bears can be empathetic, fearful, joyful, playful, social and even altruistic. Her is what you see in the toy teddy bear perhaps but as you look at it begins to undergo a change something is happening that s bring it to life just from watching it on the tv? Your toy teddy bear is undergoing a change the monster within his breaking through this once lovable toy. The tv scene has taught you somehow there is a way to bring things to life except instead of bringing the best out of the lifeless toy the transformation of the toy teddy somehow brings out the monster ? Perhaps this intrigued you this transformation of the toy teddy it’s your teddy you should be able to control it right? Looking back at the cinema you understand the same idea that if the tv at home has the power to bring toys to life then how much more power does a larger than life cinema screen have to bring you to life to transform you into much more that you are? You go to the cinema with the idea of using its mechanism that is its projector and film tapes to film yourself and then project yourself onto the big screen. By filming yourself and projecting yourself onto the cinema screen you attempt to bring out the inner you to bring you to life that is what the cinema screen is designed to do. However just like the toy bear that is harmless and comforting a monstrous change takes place you find that you are now being chased around this cinema you know you shouldn’t be doing this transformation stuff but you can’t resist. Now that you have released your inner self and bought it to life via the mechanism of the cinema you find that it has released a monster just like the toy bear? It chased you why? Because you have miscalculated that you think you are in control but by circumventing natural methods of growth and try to release the inner and more powerful you like the bear seem to turn on yourself and it is no longer your friend no longer a comfort but in breathing life into something that’s not ready it turns on you. In summary it seems like you are dabbling with the inner self in ways that are not healthy for you, yes you discovered how to bring things to life but even doctor Frankenstein could do that. The way you go about indulging these transformations are merely mechanical there is no time for healthy integration no time to slowly grow into maturity just a quick fix and a flirt with nature that turns against you.",28-12-2021 11:22,131,871,,I woke up shaking with my heart hammering. It disturbed me.
264,100006000000000,"I was in a cinema and everyone had gone home and I knew I shouldn't be there. Then there were cameras coming out of the walls (bursting out). Then I was being chased by something round the cinema. The whole scene jumped, I was at home watching television. Some programme was on with a toy Teddy bear, the bear started shaking and the fur was ripping and some sort of monster was braki through. I couldn't get the television off, the remote wasn't working.",22-12-2021 02:33,2,7,947615000000000,100002000000000,"Looking into childhood can be tough, it can be hard to have to see where our monsters come from and even harder when we realize the monster is still chasing us even now. Why are we being chased? Who is watching when we think we are alone? What is on the other side of the wall? If you are ready to stop trying to change your past and instead tell-a-vision then let’s do this. Your going to shake and feel like your hair is standing on end but your going to see the monster. I know you think the thing is “stupid” and who knows maybe it is but you can’t change it tell you look at it for what it is.",28-12-2021 11:22,131,136,,I woke up shaking with my heart hammering. It disturbed me.
